PLAYER,POS,TEAM,AGE,AVERAGE SALARY,TEAM AAV %,CASH EARNINGS,% OF TEAM PAYROLL,GTD EARNINGS,TEAM GTD %,CAP FIGURE,% OF TEAM CAP,Year
E.J. Henderson,LB,MIN,30,5000000,0.04,-,-,-,-,5910000,-,2010
Ray Lewis,LB,BAL,35,6357143,0.06,5500000,0.04,-,-,5900000,-,2010
Jake Scott,G,TEN,29,4875000,0.05,-,-,-,-,5875000,-,2010
Robert Mathis,OLB,IND,29,5000000,0.04,3470000,0.04,-,-,5870000,-,2010
Levi Brown,LT,ARI,26,5799583,0.06,3475000,0.06,-,-,5867500,-,2010
Keith Rivers,OLB,CIN,24,3833333,0.04,3920000,0.05,-,-,5864166,-,2010
Tommie Harris,DT,CHI,27,10000000,0.09,4235000,0.05,-,-,5860000,-,2010
Braylon Edwards,WR,NYJ,27,5835000,0.05,5835000,0.06,-,-,5835000,-,2010
Karlos Dansby,ILB,MIA,28,8420000,0.08,9000000,0.11,-,-,5800000,-,2010
Antonio Bryant,WR,CIN,29,7000000,0.07,-,-,-,-,5800000,-,2010
Trent Cole,OLB,PHI,27,5200000,0.04,3575000,0.04,-,-,5775000,-,2010
Ryan Grant,RB,GB,27,5000000,0.04,-,-,-,-,5765625,-,2010
Greg Jennings,WR,GB,26,6721250,0.05,2950000,0.03,-,-,5762500,-,2010
Brandon Jacobs,RB,NYG,28,6250000,0.05,-,-,-,-,5750000,-,2010
Chris Snee,G,NYG,28,7083333,0.05,3500000,0.03,-,-,5750000,-,2010
Adrian Peterson,RB,MIN,25,8100000,0.06,3640000,0.05,-,-,5695000,-,2010
Ron Bartell,CB,STL,28,6250000,0.06,-,-,-,-,5630000,-,2010
Gosder Cherilus,RT,DET,26,3000000,0.02,3320000,0.03,-,-,5630000,-,2010
Glenn Dorsey,DE,KC,25,10085000,0.1,3483500,0.04,-,-,5570500,-,2010
Brian Orakpo,OLB,WAS,24,3559000,0.03,7712000,0.06,-,-,5552000,-,2010
Scott Fujita,LB,CLE,31,4666667,0.05,-,-,-,-,5550000,-,2010
Jeremy Shockey,TE,NO,30,4311905,0.03,4025000,0.04,-,-,5525000,-,2010
Eric Winston,RT,HOU,26,6000000,0.05,4500000,0.04,-,-,5500000,-,2010
Osi Umenyiora,OLB,NYG,28,4115625,0.03,3600000,0.03,-,-,5500000,-,2010
Deion Branch,WR,NE,31,3835000,0.04,-,-,-,-,5470000,-,2010
Nnamdi Asomugha,CB,OAK,29,15155333,0.12,16592000,0.17,-,-,5422400,-,2010
Anquan Boldin,WR,BAL,29,8333333,0.07,10000000,0.08,-,-,5406250,-,2010
Vernon Gholston,LB,NYJ,24,4703333,0.04,6500000,0.07,-,-,5403333,-,2010
Sedrick Ellis,DT,NO,25,6700000,0.05,3902000,0.04,-,-,5402000,-,2010
Brian Waters,G,KC,33,5600000,0.06,5500000,0.07,-,-,5387500,-,2010
Nate Burleson,WR,DET,29,5000000,0.04,-,-,-,-,5325000,-,2010
Donte Whitner,SS,BUF,25,4200150,0.04,3345000,0.03,-,-,5313600,-,2010
Ricky Williams,RB,MIA,33,4550000,0.05,5300000,0.06,-,-,5300000,-,2010
Robert Geathers,DE,CIN,27,5625000,0.05,3450000,0.04,-,-,5283333,-,2010
Nick Barnett,ILB,GB,29,5829167,0.04,4250000,0.04,-,-,5270000,-,2010
Jarret Johnson,OLB,BAL,29,4340000,0.04,3500000,0.03,-,-,5265000,-,2010
Jamaal Anderson,DE,ATL,24,6180000,0.05,3162500,0.03,-,-,5217750,-,2010
Robert Ayers,DE,DEN,24,2600000,0.02,8725000,0.1,-,-,5181250,-,2010
Jason Witten,TE,DAL,28,4214286,0.03,3141000,0.03,-,-,5141000,-,2010
Mike Iupati,G,SF,23,3022125,0.02,6076962,0.06,-,-,5116962,-,2010
Malcolm Jenkins,FS,NO,22,3800000,0.03,9462000,0.09,-,-,5108000,-,2010
Brandon Stokley,WR,DEN,34,3066667,0.03,4734315,0.06,-,-,5063065,-,2010
Bradie James,LB,DAL,29,4000000,0.03,3450000,0.03,-,-,5050000,-,2010
Kerry Rhodes,S,ARI,28,6700000,0.07,5030000,0.08,-,-,5030000,-,2010
Jacob Bell,G,STL,29,6000000,0.05,-,-,-,-,5000000,-,2010
Jeff Faine,C,TB,29,6250000,0.08,5000000,0.07,-,-,5000000,-,2010
Bryant McFadden,CB,ARI,28,5000000,0.05,-,-,-,-,5000000,-,2010
David Stewart,RT,TEN,28,5269000,0.05,-,-,-,-,5000000,-,2010
Dan Koppen,C,NE,30,3512167,0.03,3500000,0.04,-,-,5000000,-,2010
Justin Tuck,DE,NYG,27,6200000,0.05,3500000,0.03,-,-,5000000,-,2010
Kevin Williams,DT,MIN,30,5721750,0.04,2774000,0.04,-,-,4990666,-,2010
Kyle Vanden Bosch,DE,DET,31,6500000,0.05,-,-,-,-,4937500,-,2010
Jerod Mayo,ILB,NE,24,2800000,0.03,650000,0.01,-,-,4925000,-,2010
D.J. Williams,ILB,DEN,28,5333333,0.05,6670000,0.08,-,-,4920000,-,2010
Bo Scaife,TE,TEN,29,4908000,0.05,-,-,-,-,4908000,-,2010
Randy Moss,WR,MIN,33,9000000,0.06,4894117,0.06,-,-,4894117,-,2010
Josh Freeman,QB,TB,22,5200000,0.07,8865000,0.12,-,-,4875000,-,2010
Thomas Jones,RB,KC,32,2500000,0.03,4850000,0.06,-,-,4850000,-,2010
Bryan Thomas,LB,NYJ,31,5000000,0.04,3250000,0.03,-,-,4850000,-,2010
Donald Penn,LT,TB,27,6950000,0.09,6500000,0.09,-,-,4833333,-,2010
Charles Tillman,CB,CHI,29,6166667,0.06,3400000,0.04,-,-,4816666,-,2010
David Diehl,RT,NYG,29,5166667,0.04,-,-,-,-,4787500,-,2010
Chris Cooley,TE,WAS,28,5000000,0.04,-,-,-,-,4758333,-,2010
Madieu Williams,S,MIN,28,5625000,0.04,-,-,-,-,4750667,-,2010
Darren McFadden,RB,OAK,23,7007292,0.05,1736500,0.02,-,-,4743000,-,2010
Brian Cushing,ILB,HOU,23,3180000,0.03,9221059,0.09,-,-,4721059,-,2010
Heath Miller,TE,PIT,27,6750000,0.06,9248000,0.12,-,-,4698000,-,2010
Santana Moss,WR,WAS,31,5166667,0.04,-,-,-,-,4689800,-,2010
Andre' Goodman,CB,DEN,32,4080000,0.04,-,-,-,-,4680000,-,2010
Shaun Phillips,DE,SD,29,5266667,0.05,3500000,0.04,-,-,4666667,-,2010
Andre Gurode,C,DAL,31,5000000,0.04,3000000,0.03,-,-,4666667,-,2010
Andrew Whitworth,LT,CIN,28,4105833,0.04,200000,0,-,-,4640000,-,2010
Andre Carter,DE,WAS,31,4642857,0.03,4900000,0.04,-,-,4638332,-,2010
Bernard Berrian,WR,MIN,29,7233333,0.05,100000,0,-,-,4633333,-,2010
Jason Avant,WR,PHI,27,2950000,0.02,-,-,-,-,4620000,-,2010
Hines Ward,WR,PIT,34,4970000,0.04,-,-,-,-,4610000,-,2010
Matt Light,T,NE,32,4700000,0.05,-,-,-,-,4600000,-,2010
Brandon Chillar,LB,GB,27,5250000,0.04,-,-,-,-,4600000,-,2010
Channing Crowder,LB,MIA,26,4600000,0.05,-,-,-,-,4600000,-,2010
Vince Wilfork,DT,NE,28,8000000,0.08,19000000,0.23,-,-,4600000,-,2010
Cullen Jenkins,DE,GB,29,3960000,0.03,3570000,0.04,-,-,4570000,-,2010
Darnell Dockett,DE,ARI,29,8825000,0.09,4550000,0.07,-,-,4550000,-,2010
Brandon Manumaleuna,TE,CHI,30,3000000,0.03,-,-,-,-,4505000,-,2010
Terrence McGee,CB,BUF,29,5400000,0.05,8400000,0.08,-,-,4500000,-,2010
Michael Turner,RB,ATL,28,5750000,0.05,2000000,0.02,-,-,4500000,-,2010
Robert Gallery,T,OAK,30,7464288,0.06,6007500,0.06,-,-,4484999,-,2010
